2018-07-24 13:53:50.494 [localhost-startStop-1] INFO  [org.springframework.boot.web.servlet.FilterRegistrationBean:258] [,] - Mapping filter: 'traceFilter' to: [/*]
2018-07-24 13:53:50.494 [localhost-startStop-1] INFO  [org.springframework.boot.web.servlet.FilterRegistrationBean:258] [,] - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2018-07-24 13:53:50.494 [localhost-startStop-1] INFO  [org.springframework.boot.web.servlet.FilterRegistrationBean:258] [,] - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2018-07-24 13:53:50.494 [localhost-startStop-1] INFO  [org.springframework.boot.web.servlet.FilterRegistrationBean:258] [,] - Mapping filter: 'requestContextFilter' to: [/*]
2018-07-24 13:53:50.494 [localhost-startStop-1] INFO  [org.springframework.boot.web.servlet.FilterRegistrationBean:258] [,] - Mapping filter: 'webRequestLoggingFilter' to: [/*]
2018-07-24 13:53:50.494 [localhost-startStop-1] INFO  [org.springframework.boot.web.servlet.FilterRegistrationBean:258] [,] - Mapping filter: 'authorizedLogbookFilter' to: [/*]
2018-07-24 13:53:50.494 [localhost-startStop-1] INFO  [org.springframework.boot.web.servlet.FilterRegistrationBean:258] [,] - Mapping filter: 'applicationContextIdFilter' to: [/*]
2018-07-24 13:53:50.495 [localhost-startStop-1] INFO  [org.springframework.boot.web.servlet.ServletRegistrationBean:190] [,] - Mapping servlet: 'statViewServlet' to [/druid/*]
2018-07-24 13:53:50.496 [localhost-startStop-1] INFO  [org.springframework.boot.web.servlet.ServletRegistrationBean:190] [,] - Mapping servlet: 'dispatcherServlet' to [/]
2018-07-24 13:53:53.432 [main] INFO  [com.alibaba.druid.pool.DruidDataSource:106] [,] - {dataSource-1} inited
2018-07-24 13:53:56.243 [main] INFO  [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:543] [,] - Mapped "{[/agency/list]}" onto public com.mooc.house.user.common.RestResponse<java.util.List<com.mooc.house.user.model.Agency>> com.mooc.house.user.controller.AgencyController.agencyList()
2018-07-24 13:53:56.246 [main] INFO  [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:543] [,] - Mapped "{[/agency/agentDetail]}" onto public com.mooc.house.user.common.RestResponse<com.mooc.house.user.model.User> com.mooc.house.user.controller.AgencyController.agentDetail(java.lang.Long)
2018-07-24 13:53:56.246 [main] INFO  [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:543] [,] - Mapped "{[/agency/agencyDetail]}" onto public com.mooc.house.user.common.RestResponse<com.mooc.house.user.model.Agency> com.mooc.house.user.controller.AgencyController.agencyDetail(java.lang.Integer)
2018-07-24 13:53:56.246 [main] INFO  [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:543] [,] - Mapped "{[/agency/agentList]}" onto public com.mooc.house.user.common.RestResponse<com.mooc.house.user.model.ListResponse<com.mooc.house.user.model.User>> com.mooc.house.user.controller.AgencyController.agentList(java.lang.Integer,java.lang.Integer)
2018-07-24 13:53:56.246 [main] INFO  [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:543] [,] - Mapped "{[/agency/add]}" onto public com.mooc.house.user.common.RestResponse<java.lang.Object> com.mooc.house.user.controller.AgencyController.addAgency(com.mooc.house.user.model.Agency)
2018-07-24 13:53:56.251 [main] INFO  [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:543] [,] - Mapped "{[/user/enable]}" onto public com.mooc.house.user.common.RestResponse<java.lang.Object> com.mooc.house.user.controller.UserController.enable(java.lang.String)
2018-07-24 13:53:56.252 [main] INFO  [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:543] [,] - Mapped "{[/user/add]}" onto public com.mooc.house.user.common.RestResponse<com.mooc.house.user.model.User> com.mooc.house.user.controller.UserController.add(com.mooc.house.user.model.User)
